product_id,recommended_product,rank,similarity_score
403,197775,1,0.4943115327429808
403,350240,2,0.4191753414162031
403,108021,3,0.3847970142448093
403,280375,4,0.3764580564476794
403,236416,5,0.3711997704120726
403,103221,6,0.3531834979385247
403,291559,7,0.3371443369122822
403,43830,8,0.3358248776650367
403,458271,9,0.3093377960356285
403,351551,10,0.2794348023678258
496,61298,1,0.2473040813923135
496,137102,2,0.2274551351625112
496,426751,3,0.2168552285950478
496,232780,4,0.2087422453742999
496,175668,5,0.2060392559951832
496,200536,6,0.1975239653655427
496,191106,7,0.1855084874624292
496,432357,8,0.1628120613173198
496,407078,9,0.1583224012344885
496,134118,10,0.1517894942610068
546,329133,1,0.4186571129283677
546,119736,2,0.3588738351450204
546,275625,3,0.3278600735777158
546,248455,4,0.326604030435963
546,393509,5,0.2987756636731289
546,176363,6,0.2972777610888103
546,340825,7,0.2806467886450626
546,376974,8,0.2739708166176338
546,277247,9,0.2711763243570227
546,345279,10,0.2666772966293729
829,183756,1,0.328801049543727
829,197775,2,0.2566196768304905
829,305503,3,0.2477461749043364
829,326324,4,0.238804009187314
829,198209,5,0.2330167010827583
829,168224,6,0.2317782863086895
829,350240,7,0.2176130507265896
829,108021,8,0.2022319351906928
829,280375,9,0.1965163184910816
829,403,10,0.1926241739714671
869,432992,1,0.4141820744186839
869,353628,2,0.2323890539771236
869,330090,3,0.2087591222491535
869,118551,4,0.1898508911686785
869,130865,5,0.1754993692930229
869,329133,6,0.1739178525049023
869,355752,7,0.1722727525059842
869,56303,8,0.1696036180100969
869,89323,9,0.166496486465167
869,250942,10,0.1657701510917557
1152,355752,1,0.3736328538635499
1152,89323,2,0.3410564106182843
1152,166306,3,0.3318592972715246
1152,329133,4,0.3281236982423048
1152,210984,5,0.3217576845654646
1152,114121,6,0.3033063739648996
1152,308273,7,0.2858926413043945
1152,197642,8,0.2843050478614378
1152,150403,9,0.2816904857828256
1152,230376,10,0.2787342486250559
1255,104342,1,0.1949103618455868
1255,415062,2,0.1540465742639853
1255,268335,3,0.0919709009227448
1255,247930,4,0.0843805244683072
1255,407658,5,0.0803115707754044
1255,190667,6,0.0742475869926334
1255,116475,7,0.0734425194153997
1255,2836,8,0.0716225070989233
1255,192491,9,0.0697015035357323
1255,122873,10,0.0681410761296699
1489,109288,1,0.4335348668592521
1489,274217,2,0.2252493641333809
1489,305077,3,0.1451135813164287
1489,260317,4,0.1251502980991952
1489,386092,5,0.1079868793725037
1489,248440,6,0.0352830552743977
1489,305503,7,0.0302641482024923
1489,359109,8,0.028487253915144
1489,306045,9,0.0279139271141969
1489,259189,10,0.0253416534634199
1895,447710,1,0.1663933976409698
1895,234390,2,0.1538517583230579
1895,62502,3,0.1052634334985555
1895,382419,4,0.0931769913437611
1895,168367,5,0.0734288738377996
1895,257635,6,0.0638550856814101
1895,321905,7,0.0591934245011428
1895,321821,8,0.0489607896459831
1895,372243,9,0.0426649737540948
1895,93382,10,0.0406117532699515
1981,151839,1,0.2078097333864525
1981,182157,2,0.1245964694085858
1981,67182,3,0.0527163437144481
1981,325256,4,0.0483349578413094
1981,274435,5,0.0429423609573846
1981,267347,6,0.0408382759601391
1981,143643,7,0.0406463767239803
1981,390093,8,0.0360288346061446
1981,113233,9,0.0353376746370109
1981,92271,10,0.0331438322489129
2331,359375,1,0.2181570290187339
2331,276886,2,0.084946801369591
2331,324077,3,0.0743522395644914
2331,320620,4,0.0238552088988171
2331,190606,5,0.0233142041051981
2331,416170,6,0.0138270138157205
2331,271515,7,0.0119557024964702
2331,199417,8,0.011683327287213
2331,273041,9,0.0099913445837505
2331,388097,10,0.0078058328241436
2416,96675,1,0.2187035818152528
2416,56303,2,0.2111389871460414
2416,6786,3,0.1983609064619279
2416,393134,4,0.1665345609973023
2416,130865,5,0.1591806053245323
2416,92814,6,0.148536852587668
2416,218531,7,0.1428625341606487
2416,34843,8,0.1414466168173515
2416,245168,9,0.1404127132118543
2416,66737,10,0.1396225995980429
2455,205044,1,0.292152362922538
2455,411280,2,0.2268942211570314
2455,171427,3,0.2207761418129907
2455,416399,4,0.2085982528557537
2455,340825,5,0.200840759860656
2455,377981,6,0.2000691095878763
2455,404927,7,0.1907546406424398
2455,428827,8,0.1836746168795749
2455,85774,9,0.1798838472195917
2455,119736,10,0.1762567161926361
2463,154638,1,0.2474655875843439
2463,338395,2,0.2283003735990094
2463,278272,3,0.215944259024207
2463,439963,4,0.2139338151620847
2463,119736,5,0.2058088468655182
2463,445059,6,0.2021652965151825
2463,463617,7,0.196116135138184
2463,268081,8,0.1872895900583045
2463,104468,9,0.1849046722029088
2463,419761,10,0.1835014696025718
2836,415062,1,0.3062023437213951
2836,399031,2,0.3023496797215853
2836,243980,3,0.2411863457023507
2836,260384,4,0.1477577702676374
2836,292444,5,0.1319359935519911
2836,247930,6,0.1120714931530914
2836,358041,7,0.1042768867401022
2836,257575,8,0.1024443216686645
2836,279866,9,0.1023165766225729
2836,213310,10,0.0984644314800349
2992,197775,1,0.1003139725151038
2992,350240,2,0.085066078560821
2992,108021,3,0.0780894528125814
2992,126236,4,0.076316242121548
2992,280375,5,0.0759750880541393
2992,403,6,0.0743795302642173
2992,236416,7,0.0742981536340115
2992,103221,8,0.0716739087765022
2992,291559,9,0.0684189736763163
2992,43830,10,0.0677331013501812
3383,163389,1,0.3208030125549347
3383,449701,2,0.1806224028447153
3383,278272,3,0.1402537821435245
3383,445059,4,0.1370973189726931
3383,439963,5,0.1227863901807985
3383,194791,6,0.1178055015723665
3383,419761,7,0.116202930680025
3383,338395,8,0.1122683579388698
3383,48997,9,0.1116943755444521
3383,455223,10,0.1056157379175119
3902,355752,1,0.1706275890100368
3902,89323,2,0.1643666928307667
3902,210984,3,0.1594964364420605
3902,329133,4,0.1585857899126878
3902,166306,5,0.1566435901961736
3902,308273,6,0.1417180060660887
3902,197642,7,0.1409310303112987
3902,150403,8,0.1396349825262757
3902,230376,9,0.1381695651809879
3902,308510,10,0.1361505013561564
4001,377863,1,0.2944322400401163
4001,345279,2,0.2306967157681841
4001,386724,3,0.208681223913822
4001,132600,4,0.2067987317116712
4001,37068,5,0.1807160568159692
4001,456056,6,0.1729052648089977
4001,8122,7,0.1694390685362126
4001,168927,8,0.1694011029550471
4001,76941,9,0.1688433513306493
4001,153889,10,0.1651157644506768
4067,271405,1,0.6508728808821932
4067,273872,2,0.4243332031133592
4067,380971,3,0.4066284648468267
4067,172894,4,0.3434742395380487
4067,256146,5,0.334154611855502
4067,164342,6,0.291349156889937
4067,31249,7,0.2294038392825206
4067,425726,8,0.2250676391173094
4067,355752,9,0.217491278495465
4067,89323,10,0.2102876091280444
4377,120541,1,0.2161746633045564
4377,456889,2,0.1034710467462669
